"","Treatment","avg_PO4","sd_PO4","avg_NH4","sd_NH4","avg_NO3","sd_NO3"
"1","control",10.7366666666667,4.5690516886257,33.9,4.41927595879687,44,1.92873015219859
"2","SH only",88.7333333333333,32.4039092291861,30.8,12.4068529450461,42.1,4.35086198356142
"3","low N:P, NH4",44.4666666666667,2.47857485933617,23.5566666666667,17.8521604668268,38.1333333333333,3.74343870436439
"4","SH + low N:P, NH4",60.7,9.559811713627,16.8266666666667,16.8940235981051,37.7,1.3076696830622
"5","low N:P, urea",39.8,11.7932183902445,21.7866666666667,15.7391401713478,47.6,11.6395876215612
"6","SH + low N:P, urea",14.6766666666667,7.80702461462325,20.4666666666667,8.99184816004659,37.6666666666667,4.77214137817954
"7","high N:P, NH4",6.22333333333333,0.338427737239922,131.266666666667,139.852255374496,40,0.721110255092798
"8","SH + high N:P, NH4",6.61666666666667,1.9693992315763,16.1066666666667,16.0045035328602,41.8333333333333,2.32450711621482
"9","high N:P, urea",5.38333333333333,0.873059753586966,21.7333333333333,8.1525047275873,46.3666666666667,12.9700938058803
"10","SH + high N:P, urea",6.47333333333333,0.906660539194981,52.9333333333333,26.422023641904,40,1.45258390463339
