"","Treatment","avg_PO4","sd_PO4","avg_NH4","sd_NH4","avg_NO3","sd_NO3"
"1","control",5.99666666666667,0.557344896211792,15.46,19.8169321540949,28.5666666666667,1.16761865920913
"2","nutrients only",4.39333333333333,0.624206162524317,457.666666666667,255.32397720021,27.1,0.435889894354066
"3","manure",5.27333333333333,0.525483903971695,21.4,18.8244521832642,26.9333333333333,0.513160143944688
"4","crop",43.9333333333333,4.86038407261539,15.8333333333333,14.297668807653,29.6666666666667,4.44672163884061
"5","wetland",6.68666666666667,0.522908532473255,19.4,17.2939295708061,33.8666666666667,7.95256771950628
"6","manure + nutrients",4.42333333333333,0.499232744652565,27.9333333333333,17.321181637906,30.1333333333333,4.82113402980392
"7","crop + nutrients",4.82,0.437149859887888,25.3666666666667,0.950438495292216,32.4333333333333,4.5938364504337
"8","wetland + nutrients",3.92,0.85,32.8333333333333,7.60021929508178,23.8,3.89358446678636
