"","Lake","Treatment","avgChla_ugL","sdChla_ugL"
"1","Maumee","control",25.736,2.72268194984284
"2","Maumee","nutrients only",44.428,9.03893533553593
"3","Maumee","manure",39.5873333333333,5.31308124663395
"4","Maumee","crop",89.2096666666667,29.5055072204044
"5","Maumee","wetland",24.4766666666667,0.711740355279462
"6","Maumee","manure + nutrients",92.122,29.6337671753019
"7","Maumee","crop + nutrients",110.971333333333,97.0849950627456
"8","Maumee","wetland + nutrients",137.927,161.821102971769
"9","Sandusky","control",45.628,0.649000000000001
"10","Sandusky","nutrients only",352.982666666667,2.70481077588311
"11","Sandusky","manure",84.0153333333333,12.6234685143717
"12","Sandusky","crop",63.356,13.7845518969606
"13","Sandusky","wetland",70.0456666666667,11.7212382593877
"14","Sandusky","manure + nutrients",138.832,20.3600059675826
"15","Sandusky","crop + nutrients",349.441333333333,98.6953925790527
"16","Sandusky","wetland + nutrients",238.469666666667,128.848574436558
"17","Grand","control",93.788,29.3044248706573
"18","Grand","nutrients only",325.558666666667,43.1014500026778
"19","Grand","manure",246.091333333333,83.6868427790972
"20","Grand","crop",97.9023333333333,34.4701797838847
"21","Grand","wetland",171.599333333333,21.593808935279
"22","Grand","manure + nutrients",310.194333333333,190.875812695934
"23","Grand","crop + nutrients",346.951666666667,37.6202203785854
"24","Grand","wetland + nutrients",388.874,64.3994651452945
