"","Treatment","avg_PO4","sd_PO4","avg_NH4","sd_NH4","avg_NO3","sd_NO3"
"1","control",0,0,21.0666666666667,8.42931393016854,105.6,14.6656060222549
"2","nutrients only",259.333333333333,8.38649708360608,6163.33333333333,153.079500042734,161.333333333333,3.05505046330389
"3","manure",77.5333333333333,8.43583625572078,1416.66666666667,63.5085296108588,30.2,3.92810386828047
"4","crop",61.8666666666667,21.7295497729091,183,79.5047168412038,36.3,2.43310501211929
"5","wetland",6.85333333333333,0.460579345317757,640,55.8300994088314,145.333333333333,2.51661147842358
"6","manure + nutrients",290,43.7149859887888,7110,226.495033058122,28.9,2.12837966537928
"7","crop + nutrients",308.333333333333,73.111786555475,6033.33333333333,459.818804893116,117.5,24.5
"8","wetland + nutrients",166.45,138.723673178012,6290,762.102355330306,152.333333333333,3.78593889720018
